NEIGHBORHOOD_ID,NEIGHBORHOOD_NAME,BOROUGH_ID
175,NEW BRIGHTON-ST. GEORGE,5
176,NEW DORP,5
177,NEW DORP-BEACH,5
178,NEW DORP-HEIGHTS,5
179,NEW SPRINGVILLE,5
180,OAKLAND GARDENS,4
181,OAKWOOD,5
182,OAKWOOD-BEACH,5
183,OCEAN HILL,3
184,OCEAN PARKWAY-NORTH,3
185,OCEAN PARKWAY-SOUTH,3
186,OLD MILL BASIN,3
187,OZONE PARK,4
188,PARK SLOPE,3
189,PARK SLOPE SOUTH,3
190,PARKCHESTER,2
191,PELHAM BAY,2
192,PELHAM GARDENS,2
193,PELHAM PARKWAY NORTH,2
194,PELHAM PARKWAY SOUTH,2
195,PLEASANT PLAINS,5
196,PORT IVORY,5
197,PORT RICHMOND,5
198,PRINCES BAY,5
199,PROSPECT HEIGHTS,3
200,QUEENS VILLAGE,4
201,QUEENS-UNKNOWN,4
202,RED HOOK,3
203,REGO PARK,4
204,RICHMOND HILL,4
205,RICHMONDTOWN,5
206,RICHMONDTOWN-LIGHTHS HILL,5
207,RIDGEWOOD,4
208,RIVERDALE,2
209,ROCKAWAY PARK,4
210,ROOSEVELT ISLAND,1
211,ROSEBANK,5
212,ROSEDALE,4
213,ROSSVILLE,5
214,ROSSVILLE-CHARLESTON,5
215,ROSSVILLE-PORT MOBIL,5
216,ROSSVILLE-RICHMOND VALLEY,5
217,SCHUYLERVILLE/PELHAM BAY,2
218,SEAGATE,3
219,SHEEPSHEAD BAY,3
220,SILVER LAKE,5
221,SO. JAMAICA-BAISLEY PARK,4
222,SOHO,1
223,SOUNDVIEW,2
224,SOUTH BEACH,5
225,SOUTH JAMAICA,4
226,SOUTH OZONE PARK,4
227,SOUTHBRIDGE,1
228,SPRING CREEK,3
229,SPRINGFIELD GARDENS,4
230,ST. ALBANS,4
231,STAPLETON,5
232,STAPLETON-CLIFTON,5
233,STATEN ISLAND-UNKNOWN,5
234,SUNNYSIDE (QUEENS),4
235,SUNNYSIDE (STATEN ISLAND),5
236,SUNSET PARK,3
237,THROGS NECK,2
238,TODT HILL,5
239,TOMPKINSVILLE,5
240,TOTTENVILLE,5
241,TRAVIS,5
242,TRIBECA,1
243,UPPER BAY,1
244,UPPER EAST SIDE (59-79),1
245,UPPER EAST SIDE (79-96),1
246,UPPER EAST SIDE (96-110),1
247,UPPER WEST SIDE (59-79),1
248,UPPER WEST SIDE (79-96),1
249,UPPER WEST SIDE (96-116),1
250,VAN CORTLANDT PARK,2
251,WAKEFIELD,2
252,WASHINGTON HEIGHTS LOWER,1
253,WASHINGTON HEIGHTS UPPER,1
254,WEST NEW BRIGHTON,5
255,WESTCHESTER,2
256,WESTERLEIGH,5
257,WHITESTONE,4
258,WILLIAMSBRIDGE,2
259,WILLIAMSBURG-CENTRAL,3
260,WILLIAMSBURG-EAST,3
261,WILLIAMSBURG-NORTH,3
262,WILLIAMSBURG-SOUTH,3
263,WILLOWBROOK,5
264,WILLOWBROOK-SEAVIEW,5
265,WINDSOR TERRACE,3
266,WOODHAVEN,4
267,WOODLAWN,2
268,WOODROW,5
269,WOODSIDE,4
270,WYCKOFF HEIGHTS,3
